utterance_id,model,reference_length_tokens,rigid_errors,rigid_substitutions,rigid_deletions,rigid_insertions,rigid_wer_percent,lattice_errors,lattice_wer_percent,delta_wer_percent,improved,unchanged,worsened
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,Model n,7,1,0,1,0,14.285714285714285,0.0,0.0,14.285714285714285,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,Model H,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,Model i,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,Model k,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,Model l,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,Model m,6,1,1,0,0,16.666666666666664,0.0,0.0,16.666666666666664,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_88116_190.50_193.14.wav,Model n,6,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,Model H,43,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,Model i,43,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,Model k,43,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,Model l,43,5,5,0,0,11.627906976744185,0.0,0.0,11.627906976744185,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,Model m,43,7,5,2,0,16.27906976744186,2.0,4.651162790697675,11.627906976744187,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1538598_420.96_433.47.wav,Model n,43,3,1,1,1,6.976744186046512,1.0,2.3255813953488373,4.651162790697675,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,Model H,43,4,2,1,1,9.30232558139535,1.0,2.3255813953488373,6.976744186046512,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,Model i,43,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,Model k,43,2,2,0,0,4.651162790697675,0.0,0.0,4.651162790697675,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,Model l,43,5,5,0,0,11.627906976744185,0.0,0.0,11.627906976744185,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,Model m,43,7,6,1,0,16.27906976744186,1.0,2.3255813953488373,13.953488372093027,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1669398_336.42_346.86.wav,Model n,43,6,5,1,0,13.953488372093023,1.0,2.3255813953488373,11.627906976744185,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,Model H,37,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,Model i,37,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,Model k,37,1,1,0,0,2.7027027027027026,0.0,0.0,2.7027027027027026,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,Model l,37,2,2,0,0,5.405405405405405,0.0,0.0,5.405405405405405,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,Model m,37,4,4,0,0,10.81081081081081,0.0,0.0,10.81081081081081,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1725602_690.72_699.39.wav,Model n,37,2,2,0,0,5.405405405405405,0.0,0.0,5.405405405405405,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,Model H,22,1,1,0,0,4.545454545454546,0.0,0.0,4.545454545454546,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,Model i,22,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,Model k,22,3,2,1,0,13.636363636363635,0.0,0.0,13.636363636363635,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,Model l,22,3,3,0,0,13.636363636363635,0.0,0.0,13.636363636363635,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,Model m,22,6,5,1,0,27.27272727272727,0.0,0.0,27.27272727272727,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1597583_323.52_331.38.wav,Model n,22,4,3,1,0,18.181818181818183,0.0,0.0,18.181818181818183,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,Model H,45,1,1,0,0,2.2222222222222223,0.0,0.0,2.2222222222222223,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,Model i,45,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,Model k,45,5,3,2,0,11.11111111111111,0.0,0.0,11.11111111111111,1,0,0
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1539708_53.28_68.01.wav,Model l,45,6,4,2,0,13.333333333333334,0.0,0.0,13.333333333333334,1,0,0
